sequence_id,frames,points,miou,accuracy,iou0_drivable,iou1_non_drivable,iou2_static_obstacle,iou3_dynamic_object,dom_class_pct,entropy
00,488,22514756,55.68,83.8,73.31,17.98,79.98,51.47,63.45,0.8982
01,500,21770305,51.46,84.5,67.2,0.0,81.64,57.02,63.01,0.9195
02,500,24925499,53.59,77.53,63.02,50.88,74.42,26.06,66.7,0.8681
03,500,24683611,45.6,82.66,77.61,0.0,78.82,25.98,63.11,0.9112
04,500,23869131,53.67,83.79,70.9,7.65,79.52,56.63,61.49,0.9134
05,500,23384610,51.64,81.14,65.12,19.12,77.4,44.93,61.19,0.9392
