frame_id,input_points,filtered_points,grid_cells,load_ms,preprocess_ms,ml_inference_ms,grid_generation_ms,visualization_prep_ms,total_ms,fps,cpu_percent,memory_mb
000000,40000,40000,28360,0.352,2.876,190.088,143.26,97.345,433.921,2.3,182.2,720.22
000001,40000,40000,28343,1.152,2.708,276.109,192.323,99.107,571.398,1.75,182.4,697.36
000002,40000,40000,28309,1.245,2.865,303.329,195.661,99.552,602.652,1.66,155.7,689.67
000003,40000,40000,28290,1.282,2.89,266.057,198.446,97.951,566.627,1.76,173.0,688.47
000004,40000,40000,28237,1.211,2.863,234.718,199.352,96.614,534.759,1.87,178.2,688.39
